Time (s),X (rad/s),Y (rad/s),Z (rad/s),Datetime
34.95293646,0.2058769912,-2.150508642,0.5093181133,2024-06-04 15:29:54.952936
34.99267146,0.3490622342,-2.629159451,-0.02335186116,2024-06-04 15:29:54.992671
35.03240646,-0.3321574628,-2.241331577,0.4983078241,2024-06-04 15:29:55.032406
35.07214146,0.1371814013,-0.5193274021,-0.0674521178,2024-06-04 15:29:55.072141
35.11187646,-0.5940594077,1.554255247,0.7779616117,2024-06-04 15:29:55.111876
35.15161146,-0.5750567913,0.4289011061,0.2246746272,2024-06-04 15:29:55.151611
35.19134646,-1.14782536,-1.070106626,-0.1114086211,2024-06-04 15:29:55.191346
35.23108146,2.115489006,-12.79621315,-1.611957073,2024-06-04 15:29:55.231081
35.27081637,0.5675533414,0.7686879039,-0.1362101585,2024-06-04 15:29:55.270816
35.31055137,0.3549034297,3.423069,0.4336600602,2024-06-04 15:29:55.310551
35.35028637,-0.117408596,1.836768627,0.1957846731,2024-06-04 15:29:55.350286
35.39002138,-0.9308082461,-1.795996785,0.06098547578,2024-06-04 15:29:55.390021
35.42975638,-0.7092239857,-5.788504124,-0.2887326479,2024-06-04 15:29:55.429756
35.46949137,0.4741281569,-2.644374609,-0.5042192936,2024-06-04 15:29:55.469491
35.50922637,-0.2940511107,-0.3049743772,-0.3193868399,2024-06-04 15:29:55.509226
35.54896137,0.3261955082,-1.354375124,-0.4674098194,2024-06-04 15:29:55.548961
35.58869638,0.2042822242,-2.665314198,-0.3958947361,2024-06-04 15:29:55.588696
35.62843138,0.2057789117,-3.180346489,0.1393714249,2024-06-04 15:29:55.628431
35.66816637,-0.1837852597,-3.043859482,0.4080799222,2024-06-04 15:29:55.668166
35.70790137,-0.4149560928,-1.642898798,0.08545523882,2024-06-04 15:29:55.707901
35.74763637,-0.108031407,-0.1777012795,0.7522358894,2024-06-04 15:29:55.747636
35.78737138,1.071122766,-4.423236847,-2.216074467,2024-06-04 15:29:55.787371
35.82710637,2.149427891,-5.597624779,-0.1945778579,2024-06-04 15:29:55.827106
35.86684137,2.489120007,-0.200631544,0.7294208407,2024-06-04 15:29:55.866841
35.90657637,2.760931969,0.004020623863,0.03937163949,2024-06-04 15:29:55.906576
35.94631138,2.10428524,-0.7014033794,-0.06784855574,2024-06-04 15:29:55.946311
35.98604638,0.8829738498,0.9295047522,0.4669710696,2024-06-04 15:29:55.986046
36.02578037,0.8241958022,0.3284340501,1.150903463,2024-06-04 15:29:56.025780
36.06551537,0.9578841329,-1.528776765,0.8075514436,2024-06-04 15:29:56.065515
36.10525037,1.777799368,-1.049688339,0.1633776426,2024-06-04 15:29:56.105250
36.14498538,0.7512592077,-1.373879313,0.20877859,2024-06-04 15:29:56.144985
36.18472038,-0.6586155295,-1.297296762,0.338665843,2024-06-04 15:29:56.184720
36.22445537,-0.6766768098,-0.8354761004,0.6589115262,2024-06-04 15:29:56.224455
