Time (s),X (rad/s),Y (rad/s),Z (rad/s),Datetime
10.31005671,-2.648524284,1.135191321,-0.8009144068,2024-06-04 16:48:53.310057
10.34979871,-2.288134336,0.6338838339,-1.969450235,2024-06-04 16:48:53.349799
10.38954071,-2.416576624,0.751701653,-2.308201075,2024-06-04 16:48:53.389541
10.42928371,-2.008414268,0.1239236295,-1.576075435,2024-06-04 16:48:53.429284
10.46902571,-0.08960556239,-0.6217349172,-1.069112659,2024-06-04 16:48:53.469026
10.50876771,-0.05154631287,-2.2026124,-1.198422194,2024-06-04 16:48:53.508768
10.54850971,-1.891542435,-2.28328228,-0.3156154156,2024-06-04 16:48:53.548510
10.58825271,-1.170546174,-0.1100212112,-0.2508746982,2024-06-04 16:48:53.588253
10.62799471,-0.7316114902,0.1386514157,-0.3186894059,2024-06-04 16:48:53.627995
10.66773671,0.1421847939,0.5934892893,0.05029207468,2024-06-04 16:48:53.667737
10.70747871,0.960521996,0.3233518004,-0.5576188564,2024-06-04 16:48:53.707479
10.74722171,1.812983632,1.08388555,-0.06678057462,2024-06-04 16:48:53.747222
10.78696371,1.60923624,1.312053204,-0.1053542495,2024-06-04 16:48:53.786964
10.82670571,0.7823127508,0.8612591624,0.1506144255,2024-06-04 16:48:53.826706
10.86644771,0.6001126766,0.4168823361,0.3910831511,2024-06-04 16:48:53.866448
10.90619071,1.38608849,0.3572068512,0.453496784,2024-06-04 16:48:53.906191
10.94593271,0.9075396657,0.4273728728,0.4571733177,2024-06-04 16:48:53.945933
10.98567471,1.321788788,-0.01744236797,0.4324547946,2024-06-04 16:48:53.985675
11.02541671,1.594338775,-0.2124741524,0.5674327612,2024-06-04 16:48:54.025417
11.06515871,1.966355443,-0.8557146192,0.8345187902,2024-06-04 16:48:54.065159
11.10490171,2.800409317,-0.5529463887,1.157872081,2024-06-04 16:48:54.104902
11.14464371,2.30300951,-0.670650363,1.090699077,2024-06-04 16:48:54.144644
11.18438625,2.343295097,-0.169760108,1.321928263,2024-06-04 16:48:54.184386
11.22412825,1.071103811,0.1772196889,1.031683445,2024-06-04 16:48:54.224128
11.26387125,0.2489902526,0.6992080808,0.9101606011,2024-06-04 16:48:54.263871
11.30361325,-0.8326669931,0.4405481517,1.424248815,2024-06-04 16:48:54.303613
11.34335525,-1.253986359,-0.05906322226,0.5968686342,2024-06-04 16:48:54.343355
11.38309725,-1.682883263,-0.1271911561,-0.2506414652,2024-06-04 16:48:54.383097
11.42283925,-2.272315264,-0.1038032994,-1.136541367,2024-06-04 16:48:54.422839
11.46258225,-2.602170229,0.2788662612,-1.750017643,2024-06-04 16:48:54.462582
11.50232425,-2.898118496,0.3497260511,-1.274966955,2024-06-04 16:48:54.502324
11.54206625,-2.498218536,0.3823041916,-0.8208124042,2024-06-04 16:48:54.542066
11.58180825,-1.35401094,-0.1632094383,-0.7465059161,2024-06-04 16:48:54.581808
11.62155025,-0.9302425385,-0.4741311967,-0.9394618869,2024-06-04 16:48:54.621550
11.66129325,-1.346377254,-1.031132817,-0.8671557903,2024-06-04 16:48:54.661293
11.70103525,-1.470278859,-0.6176666617,-0.1411506832,2024-06-04 16:48:54.701035
11.74077725,-0.9345859885,-0.1554478109,-0.04622269422,2024-06-04 16:48:54.740777
11.78051925,-0.2650553286,-0.1656557024,0.1370360851,2024-06-04 16:48:54.780519
11.82026125,0.1667528749,-0.2940165401,0.1346686184,2024-06-04 16:48:54.820261
11.86000425,0.8730146885,0.203706488,-0.02719455212,2024-06-04 16:48:54.860004
11.89974625,0.2626266181,0.5699246526,0.3334144056,2024-06-04 16:48:54.899746
11.93948825,0.2352195084,0.7557387352,0.4995669127,2024-06-04 16:48:54.939488
11.97923025,0.6499590874,-0.1741008908,0.25552544,2024-06-04 16:48:54.979230
12.01897225,1.498035431,1.469574809,0.4860056639,2024-06-04 16:48:55.018972
12.05871425,0.3340711892,0.4651715755,0.1520433724,2024-06-04 16:48:55.058714
12.09845725,1.235901952,1.071162939,0.365113914,2024-06-04 16:48:55.098457
