"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.244369085E2,5.235590839E1,4.957111770E0,1.465140669E2,0.000000000E0,NaN,2.785820389E1,2.863501167E1
1.254365732E2,5.235590921E1,4.957116310E0,1.422807943E2,0.000000000E0,NaN,2.921447945E1,2.857098007E1
1.264369485E2,5.235590926E1,4.957116610E0,1.421491417E2,0.000000000E0,NaN,3.064188194E1,2.900227165E1
1.274374260E2,5.235590927E1,4.957116710E0,1.423036218E2,0.000000000E0,NaN,3.056727219E1,2.815458488E1
1.284376265E2,5.235590901E1,4.957116570E0,1.421129475E2,0.000000000E0,NaN,2.917535782E1,2.754532814E1
1.294380121E2,5.235590909E1,4.957116780E0,1.421791709E2,0.000000000E0,NaN,2.743258095E1,2.600528908E1
1.304366276E2,5.235590909E1,4.957116940E0,1.423393882E2,0.000000000E0,NaN,2.588007927E1,2.792514992E1
1.314373800E2,5.235590914E1,4.957117130E0,1.424080530E2,0.000000000E0,NaN,2.728972054E1,2.921355438E1
1.324364579E2,5.235590894E1,4.957117020E0,1.424114096E2,0.000000000E0,NaN,2.702647781E1,2.856966782E1
1.334382100E2,5.235590876E1,4.957117080E0,1.425373859E2,0.000000000E0,NaN,2.751690483E1,2.866257858E1
1.344369910E2,5.235590877E1,4.957117370E0,1.423190633E2,0.000000000E0,NaN,2.847476768E1,2.878693390E1
1.354370632E2,5.235590868E1,4.957117490E0,1.421256429E2,0.000000000E0,NaN,2.893881607E1,2.933927727E1
1.364368809E2,5.235590947E1,4.957122360E0,1.377483275E2,0.000000000E0,NaN,2.850754738E1,2.886112022E1
1.374366654E2,5.235590947E1,4.957122820E0,1.378971925E2,0.000000000E0,NaN,2.882137680E1,2.857755852E1
1.384355522E2,5.235590780E1,4.957128240E0,1.334639046E2,0.000000000E0,NaN,2.931791687E1,2.807659531E1
1.394376264E2,5.235590787E1,4.957128500E0,1.333038707E2,0.000000000E0,NaN,2.975788879E1,2.791486740E1
1.404373569E2,5.235590800E1,4.957129020E0,1.331479264E2,0.000000000E0,NaN,3.185998344E1,2.815082741E1
1.414363668E2,5.235590805E1,4.957129140E0,1.330732195E2,0.000000000E0,NaN,3.300873566E1,2.846623421E1
1.424386379E2,5.235591378E1,4.957102650E0,1.364096992E2,0.000000000E0,NaN,1.713045692E1,2.626109314E1
1.434361836E2,5.235591381E1,4.957102710E0,1.364243477E2,0.000000000E0,NaN,1.844851494E1,2.639077759E1
1.444378683E2,5.235591443E1,4.957103390E0,1.370909139E2,0.000000000E0,NaN,1.991624451E1,2.619803619E1
1.454377235E2,5.235591439E1,4.957103660E0,1.369624960E2,0.000000000E0,NaN,2.137927818E1,2.651813889E1
1.464363426E2,5.235591428E1,4.957103690E0,1.367093831E2,0.000000000E0,NaN,2.343188477E1,2.647901726E1
1.474374209E2,5.235591441E1,4.957104020E0,1.365689416E2,0.000000000E0,NaN,2.681586075E1,2.728946304E1
1.484390930E2,5.235591493E1,4.957106970E0,1.331641589E2,0.000000000E0,NaN,2.608204269E1,2.793265152E1
1.494372004E2,5.235591377E1,4.957110590E0,1.292140861E2,0.000000000E0,NaN,2.709217453E1,2.767494774E1
1.504380046E2,5.235591386E1,4.957110820E0,1.292739618E2,0.000000000E0,NaN,2.882876968E1,2.736550713E1
1.514368734E2,5.235591391E1,4.957110960E0,1.292872066E2,0.000000000E0,NaN,3.147221947E1,2.752657318E1
1.524361637E2,5.235591393E1,4.957111010E0,1.293274288E2,0.000000000E0,NaN,3.225009537E1,2.687438011E1
1.534366261E2,5.235591398E1,4.957111230E0,1.294099486E2,0.000000000E0,NaN,3.385981369E1,2.635492706E1
1.544384495E2,5.235591403E1,4.957111370E0,1.293821777E2,0.000000000E0,NaN,3.489826965E1,2.640941048E1
1.554377067E2,5.235591403E1,4.957111370E0,1.295393432E2,0.000000000E0,NaN,3.490588379E1,2.712617493E1
1.564373294E2,5.235591406E1,4.957111370E0,1.297004761E2,0.000000000E0,NaN,3.630897141E1,2.764325714E1
1.574372824E2,5.235591402E1,4.957111150E0,1.300432493E2,0.000000000E0,NaN,3.645572662E1,2.883253288E1
1.584373314E2,5.235591406E1,4.957110930E0,1.305032713E2,0.000000000E0,NaN,3.956372070E1,3.086239815E1
1.594376114E2,5.235591467E1,4.957113840E0,1.274051903E2,0.000000000E0,NaN,4.241827774E1,3.230668640E1
1.604369329E2,5.235591466E1,4.957113790E0,1.273749779E2,0.000000000E0,NaN,4.208443451E1,3.329629135E1
1.614357325E2,5.235591435E1,4.957113840E0,1.270219501E2,0.000000000E0,NaN,4.060695648E1,3.255850601E1
1.624389387E2,5.235591649E1,4.957108530E0,1.279974140E2,0.000000000E0,NaN,3.005220604E1,3.181381798E1
1.634370421E2,5.235591653E1,4.957108690E0,1.279820332E2,0.000000000E0,NaN,3.035084343E1,3.134328461E1
1.644369095E2,5.235591643E1,4.957108550E0,1.279960711E2,0.000000000E0,NaN,3.059507179E1,3.035317612E1
1.654359696E2,5.235591643E1,4.957108550E0,1.279960711E2,0.000000000E0,NaN,3.165167236E1,2.958398438E1
1.664369731E2,5.235591642E1,4.957108500E0,1.281274187E2,0.000000000E0,NaN,3.279122925E1,2.957466888E1
