"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.643233954E2,5.193027193E1,4.459167521E0,1.299793654E0,3.781881464E0,7.283622176E1,4.829878131E0,3.239878743E0
1.653233756E2,5.193027311E1,4.459235490E0,7.429074971E-1,4.103966061E0,7.851590617E1,4.893106519E0,3.143572112E0
1.663233560E2,5.193027480E1,4.459291476E0,1.543103646E0,4.027691454E0,8.045308184E1,4.924291202E0,3.094494012E0
1.673233377E2,5.193029517E1,4.459341119E0,1.374068368E0,4.115761731E0,7.239476045E1,4.871704395E0,3.176638683E0
1.683233178E2,5.193031438E1,4.459379394E0,1.440173185E0,3.805774329E0,6.343146908E1,4.878831213E0,3.165682079E0
1.693232991E2,5.193033522E1,4.459428359E0,1.418934771E0,3.843059116E0,5.984759392E1,4.879594901E0,3.164504801E0
1.703232807E2,5.193035127E1,4.459484942E0,1.273828885E0,4.002766969E0,6.153450824E1,4.878905484E0,3.165567613E0
1.713232609E2,5.193038706E1,4.459528658E0,1.122255789E0,4.272369927E0,5.188257963E1,4.879210449E0,3.165097538E0
1.723232416E2,5.193038410E1,4.459576763E0,1.277572575E0,3.700467138E0,6.652123519E1,4.880478378E0,3.163142082E0
1.733232242E2,5.193039854E1,4.459637282E0,6.189875528E-1,4.005084142E0,6.981677361E1,4.933784736E0,3.079335190E0
1.743232054E2,5.193041636E1,4.459683300E0,3.015809963E-1,3.769305363E0,6.387868601E1,4.878358634E0,3.166410282E0
1.753231877E2,5.193043451E1,4.459730119E0,1.620515473E-1,3.690947266E0,6.178425535E1,4.875058394E0,3.171489034E0
1.763231688E2,5.193044958E1,4.459791647E0,4.124014955E-1,4.044983157E0,6.251235524E1,4.880482560E0,3.163135630E0
1.773231496E2,5.193042538E1,4.459903821E0,1.381679177E0,5.488302700E0,9.215019591E1,4.869763487E0,3.179613280E0
1.783231317E2,5.193042412E1,4.459958680E0,1.490085199E0,5.048221596E0,9.556828886E1,4.919950569E0,3.101390565E0
1.793231134E2,5.193045107E1,4.459982233E0,1.199638506E0,3.833229537E0,8.038364282E1,4.924932914E0,3.093472616E0
1.803230948E2,5.193048981E1,4.460011903E0,1.478990387E0,3.512102646E0,5.734448877E1,4.972393681E0,3.016593794E0
1.813230772E2,5.193052377E1,4.460072988E0,1.163429945E0,4.228093009E0,5.539282706E1,4.966822982E0,3.025757177E0
1.823230584E2,5.193055728E1,4.460129249E0,1.156938367E0,4.578589793E0,5.261255672E1,4.910756769E0,3.115927628E0
1.833230405E2,5.193058702E1,4.460193229E0,5.480700601E-1,5.161986336E0,5.092885585E1,4.888752443E0,3.150339123E0
1.843230231E2,5.193058952E1,4.460215904E0,5.164315645E-2,3.381688158E0,5.236869837E1,4.884142175E0,3.157481947E0
1.853230050E2,5.193060243E1,4.460271843E0,1.177611491E-1,3.612480950E0,6.113214840E1,4.906682640E0,3.122339269E0
1.863229867E2,5.193062599E1,4.460335875E0,7.374040410E-1,4.175907685E0,6.455976377E1,4.863233176E0,3.189592468E0
1.873229682E2,5.193064743E1,4.460387024E0,1.386065211E0,4.184080304E0,6.795540146E1,4.833149716E0,3.234996269E0
1.883229502E2,5.193067823E1,4.460439864E0,1.526279110E0,4.521362854E0,6.113057803E1,4.827102298E0,3.244013014E0
1.893229324E2,5.193069648E1,4.460493879E0,1.374689617E0,4.403376015E0,6.429369434E1,4.807178480E0,3.273464846E0
1.903229146E2,5.193071626E1,4.460539674E0,2.195177306E0,4.168550866E0,6.432573306E1,4.804531278E0,3.277348964E0
1.913228970E2,5.193073625E1,4.460583866E0,2.614472867E0,4.091877803E0,6.366124636E1,4.789260055E0,3.299625002E0
1.923228787E2,5.193075918E1,4.460640315E0,2.804953512E0,4.212625437E0,6.359809046E1,4.779309394E0,3.314021537E0
1.933228611E2,5.193077664E1,4.460689320E0,2.940199684E0,4.182966075E0,6.066514801E1,4.779074072E0,3.314360881E0
1.943228431E2,5.193077580E1,4.460744099E0,2.802132554E0,3.776224713E0,6.850671451E1,4.799066229E0,3.285346307E0
1.953228256E2,5.193078282E1,4.460804841E0,2.694873010E0,3.871415253E0,7.084431482E1,4.817060402E0,3.258905663E0
1.963228076E2,5.193079670E1,4.460876367E0,2.376400834E0,4.201779961E0,6.540205547E1,4.795176760E0,3.291020643E0
1.973227900E2,5.193080912E1,4.460927458E0,2.457781831E0,4.028030276E0,6.621328201E1,4.796314780E0,3.289361878E0
1.983227723E2,5.193081125E1,4.460997776E0,2.249882473E0,4.205588596E0,7.184722272E1,4.800521542E0,3.283219449E0
1.993227545E2,5.193083362E1,4.461051468E0,1.342639338E0,4.187081344E0,6.635148065E1,4.813562095E0,3.264070616E0
2.003227372E2,5.193085259E1,4.461133020E0,1.621579506E0,5.167554344E0,6.885100103E1,4.825761200E0,3.246007682E0
2.013227197E2,5.193085594E1,4.461186051E0,1.542863484E0,4.400473877E0,7.094994592E1,4.807495189E0,3.272999701E0
2.023227015E2,5.193085851E1,4.461252026E0,9.146585111E-1,4.248331294E0,7.598619758E1,4.804618116E0,3.277221658E0
2.033226838E2,5.193087916E1,4.461307692E0,1.905577814E0,4.617087731E0,7.131650608E1,4.783570134E0,3.307868469E0
2.043226656E2,5.193090036E1,4.461343887E0,2.529551532E0,3.922954655E0,6.510784928E1,4.772544672E0,3.323756066E0
2.053226482E2,5.193090677E1,4.461417169E0,1.393615347E0,4.467765702E0,7.719965474E1,4.778781598E0,3.314782568E0
2.063226308E2,5.193092314E1,4.461479577E0,1.195013824E0,4.595693887E0,7.483619094E1,4.790912679E0,3.297225005E0
2.073226130E2,5.193093751E1,4.461527552E0,1.731291558E0,4.182383611E0,7.358760667E1,4.787335702E0,3.302416375E0
2.083225952E2,5.193097438E1,4.461562794E0,2.445567772E0,4.162274017E0,5.453217831E1,4.767224094E0,3.331382816E0
2.093225777E2,5.193099745E1,4.461621243E0,2.291765400E0,4.560159283E0,5.399553272E1,4.772363466E0,3.324016243E0
