"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.541733094E2,5.233764289E1,4.873162340E0,5.606078777E0,1.230000019E0,1.689999962E1,6.463467121E0,8.395414352E0
2.551686118E2,5.233765621E1,4.873168830E0,4.840598321E0,1.159999967E0,1.130000019E1,6.540413380E0,8.382495880E0
2.561664865E2,5.233766919E1,4.873174460E0,4.173749707E0,1.169999957E0,1.729999924E1,6.479809284E0,8.269996643E0
2.571679625E2,5.233768171E1,4.873184420E0,3.510198824E0,1.240000010E0,3.470000076E1,6.252216816E0,7.865123272E0
2.581646785E2,5.233769310E1,4.873195300E0,2.026517482E0,1.179999948E0,3.390000153E1,6.117693424E0,7.685971737E0
2.591665017E2,5.233770431E1,4.873204110E0,5.272707366E-1,1.200000048E0,2.589999962E1,6.169060230E0,7.694381714E0
2.601679354E2,5.233771703E1,4.873209550E0,1.392506539E-2,1.289999962E0,5.900000095E0,6.131065369E0,7.637385368E0
2.611675690E2,5.233772984E1,4.873205270E0,-1.456579368E0,1.429999948E0,3.305000000E2,6.174213886E0,7.661308765E0
2.621678641E2,5.233774314E1,4.873204830E0,-1.249834818E0,1.470000029E0,8.199999809E0,6.042607307E0,7.431133270E0
2.631677218E2,5.233775530E1,4.873210300E0,-2.027585557E0,1.190000057E0,1.419999981E1,5.866367817E0,7.154624462E0
2.641690986E2,5.233776748E1,4.873215750E0,-2.280800147E0,1.250000000E0,1.050000000E1,5.244265079E0,6.405268192E0
2.651705982E2,5.233777894E1,4.873223360E0,-3.145891955E0,1.259999990E0,2.939999962E1,5.241181850E0,6.269088268E0
2.661687774E2,5.233779107E1,4.873229120E0,-3.818540031E0,1.350000024E0,1.119999981E1,5.081107140E0,6.104570389E0
2.671683632E2,5.233780399E1,4.873241340E0,-2.770663274E0,1.429999948E0,4.179999924E1,4.466639996E0,5.293289661E0
2.681683097E2,5.233781604E1,4.873252930E0,-3.649240740E0,1.279999971E0,2.270000076E1,4.081091881E0,4.898712635E0
2.691673102E2,5.233783039E1,4.873259800E0,-3.711411422E0,1.370000005E0,7.599999905E0,3.831529140E0,4.489387512E0
2.701655873E2,5.233784280E1,4.873268410E0,-3.711572119E0,1.259999990E0,2.260000038E1,3.790092468E0,4.420780659E0
2.711685322E2,5.233785247E1,4.873281290E0,-3.967410498E0,1.250000000E0,3.940000153E1,3.790092468E0,4.326571941E0
2.721653430E2,5.233786520E1,4.873293830E0,-4.022561169E0,1.399999976E0,2.550000000E1,3.790092468E0,4.183315754E0
2.731717299E2,5.233787673E1,4.873305820E0,-4.125260232E0,1.230000019E0,3.350000000E1,3.790092468E0,4.254467964E0
2.741718261E2,5.233788838E1,4.873316430E0,-3.599480912E0,1.220000029E0,2.729999924E1,3.790092468E0,4.206143856E0
2.751714957E2,5.233789752E1,4.873330040E0,-3.832431435E0,1.240000010E0,4.520000076E1,3.790092468E0,4.327341557E0
2.761722992E2,5.233790831E1,4.873347570E0,-2.563790475E0,1.269999981E0,3.010000038E1,3.900377989E0,4.880463600E0
2.771701598E2,5.233792044E1,4.873361540E0,-1.947310312E0,1.269999981E0,2.570000076E1,4.016085625E0,5.106020451E0
2.781659031E2,5.233793393E1,4.873377230E0,-6.975875024E-1,1.240000010E0,3.070000076E1,3.972914219E0,5.023328781E0
2.791665239E2,5.233794704E1,4.873395870E0,-6.505103741E-2,1.289999962E0,3.640000153E1,4.075741291E0,5.225484848E0
2.801686054E2,5.233795855E1,4.873412650E0,9.244548777E-2,1.200000048E0,4.009999847E1,4.222019672E0,5.204115391E0
2.811689914E2,5.233797027E1,4.873429310E0,5.741609900E-1,1.240000010E0,3.300000000E1,4.063149929E0,5.081989765E0
2.821684135E2,5.233798171E1,4.873446840E0,1.128630503E0,1.210000038E0,3.470000076E1,4.125726223E0,5.017576694E0
2.831651377E2,5.233799205E1,4.873463080E0,9.783858134E-1,1.279999971E0,3.679999924E1,3.951070070E0,4.790367603E0
2.841704410E2,5.233800276E1,4.873484550E0,2.414448353E0,1.450000048E0,5.050000000E1,4.141855240E0,4.945670605E0
2.851683746E2,5.233801332E1,4.873504800E0,3.843613009E0,1.240000010E0,4.200000000E1,4.524680138E0,5.285852432E0
