Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Datetime
266.1180803,52.33486972,4.86893395,6.4856181,1.389999986,96.90000153,3.790092468,3.022653341,2024-06-05 16:44:51.118080
267.120758,52.33486891,4.86895525,5.9325896,1.340000033,97.69999695,3.790092468,2.890372992,2024-06-05 16:44:52.120758
268.1181321,52.33487382,4.8689795,6.644829626,1.529999971,69.5,3.790092468,3.105950832,2024-06-05 16:44:53.118132
269.1165606,52.33487242,4.86900338,6.088017592,1.549999952,98.09999847,3.790092468,3.359904289,2024-06-05 16:44:54.116561
270.113658,52.33487078,4.86902737,5.617264854,1.419999957,93.90000153,3.790092468,3.427125454,2024-06-05 16:44:55.113658
271.1141408,52.33486919,4.86904702,5.057276304,1.340000033,83.0,3.790092468,3.342852831,2024-06-05 16:44:56.114141
272.1152096,52.3348661,4.86907063,4.564975897,1.450000048,92.40000153,3.790092468,3.405869484,2024-06-05 16:44:57.115210
273.1147014,52.33486592,4.86909224,3.768967504,1.389999986,80.59999847,3.790092468,3.356123447,2024-06-05 16:44:58.114701
274.1135324,52.33486878,4.8691123,3.421204689,1.360000014,67.80000305,3.790092468,3.30675602,2024-06-05 16:44:59.113532
275.1181303,52.3348738,4.86913681,3.045920605,1.429999948,50.40000153,3.790092468,2.883598804,2024-06-05 16:45:00.118130
276.1157401,52.33487784,4.86916033,2.608317681,1.350000024,61.29999924,3.790092468,2.833670139,2024-06-05 16:45:01.115740
277.1178596,52.33488642,4.86917796,3.099733889,1.409999967,43.70000076,3.790092468,2.697416544,2024-06-05 16:45:02.117860
278.1157742,52.33489758,4.86918945,2.282678534,1.389999986,27.10000038,3.790092468,2.664263964,2024-06-05 16:45:03.115774
279.1212235,52.33490905,4.8692006,2.105454963,1.350000024,29.29999924,3.790092468,2.766739607,2024-06-05 16:45:04.121223
280.1182199,52.33492191,4.86920484,1.71167666,1.409999967,9.699999809,3.790092468,3.040002108,2024-06-05 16:45:05.118220
281.1177344,52.3349359,4.86921038,1.868376765,1.409999967,26.89999962,3.790092468,2.910103321,2024-06-05 16:45:06.117734
282.1173561,52.33494946,4.86921295,1.341847026,1.279999971,12.39999962,3.790092468,3.082531452,2024-06-05 16:45:07.117356
283.121112,52.33496245,4.86921529,0.3142787561,1.320000052,13.60000038,3.790092468,3.51225543,2024-06-05 16:45:08.121112
284.1171619,52.33497633,4.86921458,-1.02865866,1.350000024,3.400000095,3.790092468,3.726712704,2024-06-05 16:45:09.117162
285.1202316,52.33499059,4.86921734,-0.969799121,1.330000043,5.800000191,3.790092468,3.83651638,2024-06-05 16:45:10.120232
286.1194103,52.33500647,4.86921897,-0.7510258398,1.330000043,359.7000122,3.790092468,3.560167551,2024-06-05 16:45:11.119410
287.1169012,52.33502178,4.86921722,-1.374784592,1.309999943,3.099999905,3.790092468,3.665262938,2024-06-05 16:45:12.116901
288.1252805,52.33503579,4.86921232,-0.2556880903,1.360000014,347.2000122,3.790092468,3.529718399,2024-06-05 16:45:13.125280
289.1265959,52.33505176,4.86920923,-0.4191195324,1.320000052,0.200000003,3.790092468,3.517360449,2024-06-05 16:45:14.126596
