Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Datetime
224.746291,-0.009327411652,-0.6843390465,-2.585189581,2024-06-11 14:46:08.746291
224.7867826,-1.168094635,-2.622975349,0.8296151161,2024-06-11 14:46:08.786783
224.8272494,-3.138073206,-5.756257057,-1.165002108,2024-06-11 14:46:08.827249
224.8677765,-4.703944206,-6.492781639,-0.4492094517,2024-06-11 14:46:08.867776
224.9082058,-4.653428555,-1.502710342,-3.865564108,2024-06-11 14:46:08.908206
224.9486493,-1.223314762,2.80577898,-3.468090296,2024-06-11 14:46:08.948649
224.9891615,9.627609253,1.497907162,-2.137294531,2024-06-11 14:46:08.989161
225.0296413,12.73819065,-4.584396362,-0.6665297151,2024-06-11 14:46:09.029641
225.0701211,10.06671619,4.651900291,-1.036060572,2024-06-11 14:46:09.070121
225.1106209,2.716687441,6.823259354,3.008448124,2024-06-11 14:46:09.110621
225.1510984,0.8664133549,3.288492203,7.164115906,2024-06-11 14:46:09.151098
225.1915437,0.5665209293,1.924660206,3.98675108,2024-06-11 14:46:09.191544
225.2320429,0.0474820137,-1.083338737,-0.7077374458,2024-06-11 14:46:09.232043
225.2725571,-1.943375111,-1.780943871,-4.555882931,2024-06-11 14:46:09.272557
225.3130159,-3.166334629,0.4763479233,-0.4596767426,2024-06-11 14:46:09.313016
225.3535208,-2.75655818,2.157744408,-0.4607913494,2024-06-11 14:46:09.353521
225.394038,-2.042521238,1.132882118,1.449186087,2024-06-11 14:46:09.394038
225.4345183,0.903906703,2.639227867,-0.3687118292,2024-06-11 14:46:09.434518
225.4749454,2.460269451,2.137218475,1.603251338,2024-06-11 14:46:09.474945
225.5154224,1.818065882,-5.256599426,7.96396637,2024-06-11 14:46:09.515422
225.5559081,2.36793232,-0.8157253265,1.638301849,2024-06-11 14:46:09.555908
225.596383,4.101402283,-3.130123138,-3.188425779,2024-06-11 14:46:09.596383
225.63686,-1.068455458,0.3353595734,-4.129671574,2024-06-11 14:46:09.636860
225.6773402,-2.058225632,3.872110844,-3.772371292,2024-06-11 14:46:09.677340
225.7178135,-1.081171989,2.065730095,-4.492879868,2024-06-11 14:46:09.717814
225.758348,2.033704281,-2.518149376,-5.870591164,2024-06-11 14:46:09.758348
225.7987696,-0.1191496849,-1.957281113,-3.614673853,2024-06-11 14:46:09.798770
225.8392507,1.208916187,-0.6461658478,-0.0737041235,2024-06-11 14:46:09.839251
225.8796988,2.932061195,-0.8562498093,1.052314043,2024-06-11 14:46:09.879699
225.9202155,4.896670341,1.075605392,7.71733284,2024-06-11 14:46:09.920216
225.9607007,1.601190925,2.360587597,5.71665287,2024-06-11 14:46:09.960701
226.0012005,0.7625749111,0.5837306976,3.666718483,2024-06-11 14:46:10.001201
226.0416946,-1.143496633,-1.458065033,0.7667280436,2024-06-11 14:46:10.041695
226.0821677,-1.293603182,-2.498135567,-0.4838494658,2024-06-11 14:46:10.082168
226.1226396,-0.3005393744,-4.162981033,-1.810606718,2024-06-11 14:46:10.122640
226.1631184,1.289035439,-2.923493385,5.010247707,2024-06-11 14:46:10.163118
226.2035996,1.713203907,0.1659154892,-0.018222332,2024-06-11 14:46:10.203600
226.2440827,2.549033403,2.013002396,-4.37577486,2024-06-11 14:46:10.244083
